Card #1;Card #2;Card #3;Card #4;Card #5;Card #6;Card #7;output
Arid_Mesa;Arid_Mesa;Bloodstained_Mire;Inspiring_Vantage;Bloodstained_Mire;Bloodstained_Mire;Wooded_Foothills;0
Arid_Mesa;Arid_Mesa;Bloodstained_Mire;Inspiring_Vantage;Inspiring_Vantage;Wooded_Foothills;Sacred_Foundry;0
Arid_Mesa;Arid_Mesa;Inspiring_Vantage;Bloodstained_Mire;Sacred_Foundry;Mountain;Sacred_Foundry;0
Arid_Mesa;Arid_Mesa;Inspiring_Vantage;Wooded_Foothills;Wooded_Foothills;Wooded_Foothills;Sacred_Foundry;0
Arid_Mesa;Arid_Mesa;Mountain;Mountain;Inspiring_Vantage;Bloodstained_Mire;Inspiring_Vantage;0
Arid_Mesa;Arid_Mesa;Mountain;Mountain;Sacred_Foundry;Wooded_Foothills;Wooded_Foothills;0
Arid_Mesa;Arid_Mesa;Stomping_Ground;Inspiring_Vantage;Sacred_Foundry;Inspiring_Vantage;Bloodstained_Mire;0
Arid_Mesa;Arid_Mesa;Wooded_Foothills;Bloodstained_Mire;Bloodstained_Mire;Wooded_Foothills;Sacred_Foundry;0
Arid_Mesa;Arid_Mesa;Wooded_Foothills;Inspiring_Vantage;Bloodstained_Mire;Mountain;Inspiring_Vantage;0
Arid_Mesa;Bloodstained_Mire;Arid_Mesa;Mountain;Mountain;Bloodstained_Mire;Sacred_Foundry;0
Arid_Mesa;Bloodstained_Mire;Arid_Mesa;Wooded_Foothills;Inspiring_Vantage;Stomping_Ground;Inspiring_Vantage;0
Arid_Mesa;Bloodstained_Mire;Bloodstained_Mire;Inspiring_Vantage;Stomping_Ground;Mountain;Mountain;0
Arid_Mesa;Bloodstained_Mire;Inspiring_Vantage;Inspiring_Vantage;Mountain;Wooded_Foothills;Sacred_Foundry;0
Arid_Mesa;Bloodstained_Mire;Inspiring_Vantage;Sacred_Foundry;Bloodstained_Mire;Mountain;Sacred_Foundry;0
Arid_Mesa;Bloodstained_Mire;Inspiring_Vantage;Sacred_Foundry;Sacred_Foundry;Inspiring_Vantage;Inspiring_Vantage;0
Arid_Mesa;Bloodstained_Mire;Inspiring_Vantage;Wooded_Foothills;Wooded_Foothills;Mountain;Mountain;0
Arid_Mesa;Bloodstained_Mire;Mountain;Bloodstained_Mire;Sacred_Foundry;Wooded_Foothills;Sacred_Foundry;0
Arid_Mesa;Bloodstained_Mire;Mountain;Sacred_Foundry;Bloodstained_Mire;Arid_Mesa;Stomping_Ground;0
Arid_Mesa;Bloodstained_Mire;Mountain;Sacred_Foundry;Sacred_Foundry;Wooded_Foothills;Bloodstained_Mire;0
Arid_Mesa;Bloodstained_Mire;Mountain;Sacred_Foundry;Wooded_Foothills;Bloodstained_Mire;Wooded_Foothills;0
Arid_Mesa;Bloodstained_Mire;Mountain;Stomping_Ground;Arid_Mesa;Bloodstained_Mire;Wooded_Foothills;0
Arid_Mesa;Bloodstained_Mire;Sacred_Foundry;Stomping_Ground;Bloodstained_Mire;Wooded_Foothills;Bloodstained_Mire;0
Arid_Mesa;Bloodstained_Mire;Stomping_Ground;Sacred_Foundry;Wooded_Foothills;Mountain;Inspiring_Vantage;0
Arid_Mesa;Bloodstained_Mire;Stomping_Ground;Wooded_Foothills;Inspiring_Vantage;Arid_Mesa;Mountain;0
Arid_Mesa;Bloodstained_Mire;Wooded_Foothills;Arid_Mesa;Mountain;Wooded_Foothills;Mountain;0
Arid_Mesa;Bloodstained_Mire;Wooded_Foothills;Bloodstained_Mire;Mountain;Bloodstained_Mire;Wooded_Foothills;0
Arid_Mesa;Bloodstained_Mire;Wooded_Foothills;Inspiring_Vantage;Inspiring_Vantage;Bloodstained_Mire;Wooded_Foothills;0
Arid_Mesa;Bloodstained_Mire;Wooded_Foothills;Inspiring_Vantage;Inspiring_Vantage;Mountain;Wooded_Foothills;0
